CMPLID,ODINO,MFR_NAME,MAKETXT,MODELTXT,YEARTXT,CRASH,FAILDATE,FIRE,INJURED,DEATHS,COMPDESC,CITY,STATE,VIN,DATEA,LDATE,MILES,OCCURENCES,CDESCR,CMPL_TYPE,POLICE_RPT_YN,PURCH_DT,ORIG_OWNER_YN,ANTI_BRAKES_YN,CRUISE_CONT_YN,NUM_CYLS,DRIVE_TRAIN,FUEL_SYS,FUEL_TYPE,TRANS_TYPE,VEH_SPEED,DOT,TIRE_SIZE,LOC_OF_TIRE,TIRE_FAIL_TYPE,ORIG_EQUIP_YN,MANUF_DT,SEAT_TYPE,RESTRAINT_TYPE,DEALER_NAME,DEALER_TEL,DEALER_CITY,DEALER_STATE,DEALER_ZIP,PROD_TYPE,REPAIRED_YN,MEDICAL_ATTN,VEHICLES_TOWED_YN,AdaptiveCruiseControl1,ForwardCollisionWarning1,LaneDepartureWarning1,AutomaticEmergencyBraking1,BlindSpotMonitoring1,LaneKeepSystem1,RearVisibilityCamera1,AdaptiveHeadlights1,ParkAssist1,ADAS1
1084589,10608693,Chrysler (FCA US LLC),DODGE,DURANGO,2014,N,20140702,N,0,0,fuel/propulsion system,NORTH LITTLE ROCK,AR,,20140707,20140707,1800,1,i often attempt to accelerate at slower speeds generally between 20-30mph to pass another vehicle etc... the response after pushing the gas is very delayed sometimes as if the vehicle hesitates.   *js,IVOQ,N,,N,N,N,,,,,,25,,,,,,,,,,,,,,V,,N,,0,0,0,0,0,0,0,0,0,0
1463858,11091132,"Nissan North America, Inc.",INFINITI,Q50 HYBRID,2015,N,20180501,N,,,power train,BROOKHAVEN,GA,JN1AV7AP8FM,20180501,20180501,17000,,"vehicle lurches back and forth when accelerating with a good amount of effort from a stop on right hand turns causing the car to act like it is slamming on the brakes and then accelerating repeatedly for about 3-4 seconds.  this has nearly caused me to be rear ended numerous times.  i have had the vehicle in the shop 3 times for this and was told it was not normal and that traction control was detecting wheel spin when there was none, and activating when it shouldn't be.  i had a case opened with infiniti consumer affairs and am now being told that it is ""normal operation"" for a hybrid because they tested on other hybrids and experienced it!?!?  that is recall territory.  this is a severe safety issue as acceleration is retarded and can easily cause a crash as it is very unpredictable.  only happens when accelerating on a right turn from stop. goes away if traction control is off.  4th and last infiniti i will purchase.  numerous cases online with same issue and infiniti buying back the vehicle.  why would they buy vehicle back if it was ""normal operation""?",IVOQ,N,,N,N,N,,,,,,0,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1329684,10919275,"Subaru of America, Inc.",SUBARU,FORESTER,2017,Y,20161023,N,1,0,steering,PITTSBURGH,PA,JF2SJAJC6HH,20161027,20161027,1000,,"tl* the contact owns a 2017 subaru forester. while attempting to turn the vehicle into an intersection, the steering wheel locked and the vehicle crashed into a pole. the vehicle was towed and received front end damage. the contact received neck and back injuries. the contact did not receive medical attention. a police report was filed. the manufacturer was made aware of the failure. the approximate failure mileage was 1,000. ",EVOQ,Y,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,Y,0,0,0,0,0,0,0,0,0,0
1334303,10926196,"Volkswagen Group of America, Inc.",AUDI,Q5,2016,Y,20161105,N,,,service brakes,ROCKPORT,MA,WA1D7AFP7GA,20161115,20161115,21000,,"i have a 2016 audi q5 and recently was involved in a serious single-car accident. i was parking my car and moved my foot to brake when the car surged forward over a couple of boulders through the trees flipping once and rolling down an embankment. i, miraculously, came out of the incident unscathed. three weeks earlier my brother-in-law borrowed my car and said i should have the car checked because it surged forward on him on three different occasions when he went to brake. i dismissed his comments, thinking he was not used to my car. turns out there may have been a connection to both of our experiences and a serious safety issue with the car. i have contacted audi corporate, but wanted to register this incident.",IVOQ,Y,,N,N,N,,,,,,5,,,,,,,,,,,,,,V,,N,Y,0,0,0,0,0,0,0,0,0,0
1291726,10875405,Chrysler (FCA US LLC),JEEP,WRANGLER,2016,N,20160616,N,,,electrical system,INDEPENDENCE,KS,1C4BJWKG4GL,20160620,20160620,12500,,"2016 jeep wrangler unlimited rhd.  the check engine light and traction light came on while driving.  restarted the vehicle and traction went off.  check engine went off later that day, but came back on.  traction was intermittent, but would turn off when restarted.  next day, check engine light and traction came on and twice while moving the engine died.  i lost total control of vehicle, but was going slow at the time.  once on a curve and the other time while turning.  second time was toward a deep ditch, but stopped short.  this is very dangerous.  quality motors tried to fix once.  will take back tomorrow when they could fit it in.",IVOQ,N,,N,N,N,,,,,,15,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1375966,10983853,Toyota Motor Corporation,LEXUS,NX200T,2017,N,20170504,N,,,wheels,OMAHA,NE,JTJBARBZXH2,20170506,20170506,0,,"fagan rousseau 5-06-2017  reporting . dealers hate me! for good cause, no records showing dot number on tires with warranty paying out on tire pressure check of monthly sitting , valve stems leak air, battery sitting over time loses charge,  warranty pays for dealer to unwrap vehicle and attach glue decals to paint protected under warranty,   no record of brand title ,  epa=filters, storage or driver type, engine meeting emmissions, dot = from japan to usa to toyota motor sales to dealer to me test driving cld class c commercial lexus type o vehicle.   toyota wants floor mats inspected. after market parts added, no documents listed. no manufactured date , in floor room of lexus, 13025 w dodge st, omaha, ne, 68154",IVOQ,N,,N,N,N,,,,,,0,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1456966,11082220,General Motors LLC,GMC,ACADIA,2017,N,20170826,N,,,exterior lighting,MONTGOMERY VILLAGE,MD,1GKKNWLS8HZ,20180330,20180330,8600,1,"tl* the contact owns a 2017 gmc acadia. while driving unknown speeds, the headlights failed to produce adequate light. the  vehicle was taken to king buick gmc (16200 frederick rd, gaithersburg, md 20877), but was not diagnosed or repaired. the manufacturer was not notified. the failure mileage was 8,600. *tt  *js",EVOQ,N,20170804,N,Y,Y,6,AWD,,GS,AUTO,,,,,,,,,,KING GMC,301-948-9111,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1457645,11082678,Ford Motor Company,FORD,FUSION,2014,N,20180402,N,,,power train,ALPHARETTA,GA,,20180403,20180403,56000,,"tl* the contact owns a 2014 ford fusion. the contact stated that the clutch was defective, which made it difficult to switch gears occasionally. there were no warning indicators illuminated before or after the failure. the vehicle was taken to angela krause ford lincoln (1575 mansell rd, alpharetta, ga 30009), but was not diagnosed or repaired. the manufacturer was notified of the failure. the vin was unknown. the approximate failure mileage was 56,000. ",EVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1204607,10744769,Chrysler (FCA US LLC),RAM,1500,2014,N,20150513,N,0,0,service brakes,LAKESIDE,CA,1C6RR6LT6ES,20150729,20150729,26000,,"on 13 may i was coming to a metered light when a lane splitter caused me to hard brake to avoid the splitter. my truck, with no prompting from me shut off. i was nearly rear ended by a semi behind me. on 6 june i was coming to a light and nearly stopped and my truck shut off. on 7 july i was coming to a stop at a stop light and my truck shut off. each time this happens the truck turns off, the turn dial flashes ""p"" (as it is currently in d). i put the truck in p, turn the ignition back on, place turn dial into d and drive. each time carl burger dodge says that my truck doesnt ""code"" and they cant recreate the issue. i provided them with video's of what happens that i found on youtube and thats when they started a ""star"" case with chrysler main. my chrysler customer care assistance admits there is an issue saying ""the tech's are working on it"" but then says the best they can do is ""give me 3 free years of oil changes"". i am a disabled veteran and i have reached lemon law status but carl burger is not doing anything and chrysler says its carl burgers responsibility to take my truck back but carl burger says its chryslers. this truck is going to get me killed. there is another reported case in chula vista, ca and chrysler also gave them 3 free years of oil changes just like they did with me. your recall didnt include this year/make and model and it cant just be my truck, there is a dodge forumn that has this issue on the entire thread but since no customers vehicles ""code"" chrysler is keeping this quiet, i think they really have no idea what it is. carl burger says they cant keep taking my truck apart but ""we believe you"". please look into this.",IVOQ,N,,N,N,N,,,,,,5,,,,,,,,,,,,,,V,,N,,0,0,0,0,0,0,0,0,0,0
1167368,10700562,General Motors LLC,CADILLAC,ATS,2014,Y,20140811,N,2,,electronic stability control,SOUTHFIELD,MI,1G6AG5RX4E0,20150318,20150318,7000,,"  i was involved in a car crash on 8-11-14. my husband brought my a 2014 cadillac ats for my birthday. a few months after ownership i noticed that when it rained the car would hydroplane but the stablitrack would make the vehicle jump back into it's lane.   my husband thought i was being a brat, so i told him to drive the car. he took the car for a test drive and less than minutes into his test drive he said, ?call the  dealership and get these damn tires off this car now? !  i called the dealership (lafontaine) and left a message with xxxx xxxx and explained the problems with the tires and to switch to regular tires not the runflat tires. she never called me back. a few days later, my daughter and i crashed. the car hydroplaned and lost control we hit two tress and took down a one way sign.  my daughter and i suffered horrible injuries. i made a claim with gm esis dept., they denied my claim stating that the tires were worn and speed. i had no more 5000 miles at the time of the crash.   there is no way the tires were worn nor speed. i took my car in for the lease maintenance package the dealership (suburban cadillac) did tire rotation and at time there was no mentation of my tire thread wearing down. when i mentioned to service dept about the problems with the tires the explanation i was given is that the run flat tires are like the big wheel (child plastic tricycle from the 80's) tires when it rains that's why plus tire are low profile.   i contacted my state attorney general (no help), bbb (going through procedures currently), ftc (made a complaint), and contacted nthsa(no help at all) to get help for an investigation and for gm. as a citizen of the united states i am so disappointed with the lack of support for the people that are supposed to assist citizens like me.",SVOQ,N,,N,N,N,,,,,,45,,,,,,,,,,,,,,V,,Y,,0,0,0,0,0,0,0,0,0,0
1339034,10930262,Ford Motor Company,FORD,F-350,2015,N,20160102,N,,,visibility/wiper,GALATIN GATEWAY,MT,1FT8W3DT2FE,20161206,20161206,5000,,"tl* the contact owns a 2015 ford f-350. the contact stated that the windshield wipers remained activated and would not turn off. the dealer was unable to diagnose the cause of the failure. the manufacturer stated that there was no recall. the failure mileage was 5,000. ",EVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1318675,10907300,Chrysler (FCA US LLC),JEEP,PATRIOT,2016,N,20160722,Y,,,unknown or other,CLACKAMAS,OR,1C4NJRBB0GD,20160916,20160916,5000,,"i was driving on a city street around 2:30 pm when i notice smoke coming out from under my hood. i pulled off to a safe spot and by this time ii could see the fire coming out of the front of my jeep. three fire inspectors looked at it and are unable to determine the cause of the fire. however, a jeep mechanic also looked at it and believes the fire started behind the battery. the jeep is totaled. still waiting on reports from the insurance company.   cynthia  i just wanted to give you an update.  we did hire some people who went out and also were not able to fully determine the fire. i am having a hard time getting in contact with chrysler. i will keep trying and let you know what they tell me.  depending on what they tell me we might move forward with more investigation. i will keep you updated. from progressive claim #161737586 agent amy etta ph. 503-495-4507     ",IVOQ,N,,N,N,N,,,,,,15,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1290602,10874557,Chrysler (FCA US LLC),JEEP,CHEROKEE,2014,N,20160613,N,,,electrical system,SHELBY TWP,MI,1C4PJMCB0EW,20160616,20160616,34000,,"power lift gate will not operate all the time, sometimes i have to manually lift up the lift gate to get into  the inside trunk area. recall r 27 has been performed in all 3 parts. check the electrical connectors, install module water shield,and replace module connectors and install module. i have been back to selling dealer for this issue many times for the inoperative hatch issue customer cairs have been opened on this issue with no success. dealer and chrysler advise me when it happens bring in the vehicle so we can see the problem. i am worried about the potential electrical fire potential due to this system not operating as designed. i have been to the dealer about this since dec of 2013 1 month after purchase due to the fact that the dealer can not duplicate the complaint at their shop nothing is written up because no problem found.   the most recent trip to the dealer was june 13 2016. this issue always happens when the vehicle is in park engine running or engine off button on dash will not activate lift gate either key fob will not activate lift gate and when i get out of the vehicle to attempt to open lift gate with lift gate button this will not work either. i have to manually open the lift gate by opening the hatch and raising the lift gate as if the vehicle was not equipped with the power lift gate accessory. please help resolve this long standing issue, i retired from chrysler after 41 years of service in warranty, customer service and tech. i am not making up this issue. since the recall repair date of 4-15-2016 the trans will shift hard from stop lights also.",IVOQ,N,,N,N,N,,,,,,0,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1309689,10896620,Hyundai Motor America,HYUNDAI,SONATA,2015,N,20151104,N,,,service brakes,BROOKLYN,NY,5NPE34AF4FH,20160817,20160817,5494,,the car has issues with the transmission shifting erratically. there is a very loud chattering coming from the engine. it is getting progressively worse. the panoramic sunroof is constantly creaking whenever driving on uneven pavement. the car has been in the shop for check engine issues since it was three months old all related to the intake manifold and vcm. and the vehicle stalls randomly and does not set off and check engine lights. dealerships keep saying no issue found. rotors have warped.,IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1389928,11002248,Hyundai Motor America,HYUNDAI,SONATA,2014,N,20170609,N,,,steering,BRENTWOOD,NY,5NPEB4AC2EH,20170707,20170707,,1,2014 hyundai sonata.  consumer writes in regards to front seat belt anchor recall and motor drive power steering coupling extended warranty issues.  *ld  updated 7/7/17*js,LETR,N,,N,N,N,4,FWD,,GS,,,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1432807,11055175,Hyundai Motor America,HYUNDAI,TUCSON,2017,N,20170612,N,,,power train,HENDERSON,NV,KM8J3CA49HU,20171218,20171218,,,the transmission does not engage or delays to engage in low gears.  the problem is very prevalent under hot temperatures changes in inlines.  most often the issue occurs off the line and when merging into traffic.  the issue is described on their own website bye dozens of hyundai tucson owners  http://www.hyundai-forums.com/2016-tucson-ix35-models/454074-dangerous-horrible-dct-209.html  the company is well aware of the issues but claims it's driving habits and not faulty design.  the service manager stated that he has had dozens of complaints but has not heard of any resolutions.  this is a very dangerous design flaw that has caused more than near accident senario.  the issue was addressed from the first day that i that i purchased the vehicle but has been brushed off and hyundai refuses to address the issue,IVOQ,N,,N,N,N,,,,,,0,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1411367,11031416,Ford Motor Company,FORD,FUSION,2015,N,20170926,N,,,power train,MERCED,CA,3FA6P0H75FR,20171002,20171002,68562,,shift lever cable broke.  vehicle would not shift out of driver.  shift lever is made of plastic and fell apart.,IVOQ,N,,N,N,N,,,,,,0,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1325128,10915208,Toyota Motor Corporation,TOYOTA,4RUNNER,2015,N,20161001,N,,,steering,CONCORD,NH,JTEBU5JR7F5,20161011,20161011,27000,,"tl* the contact owns a 2015 toyota 4runner. while driving 65 mph, the vehicle vibrated and the steering wheel shook and made a chattering noise. the tires were replaced because the contact thought they were the cause of the failure; however, the failure continued. the dealer was notified. the vehicle was not diagnosed or repaired. the failure mileage was 27,000.  ",EVOQ,N,,N,N,N,,,,,,65,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1136486,10661655,"Nissan North America, Inc.",NISSAN,ROGUE,2014,N,20141110,N,0,0,visibility,FAIR OAKS,CA,5N1AT2MV1EC,20141202,20141202,4950,2,"this problem has happened before however this time it caused a dicey situation.  while driving on the freeway the front windshield sun visor suddenly dropped from the forward up position (against the front windshield where it was blocking the sun) down to a vertical position where it severely blocked the front visibility.  it will not reliably stay in the up or sun blocking position; it will stay in the stored or back position very securely.     the technician at hanlees nissan said the situation was ""normal"" and there was no authorized modification. i consider this a safety issue because of the unexpected loss of sight of the road.  *js",IVOQ,N,,N,N,N,,AWD,,,,65,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1359888,10957875,General Motors LLC,CHEVROLET,TRAVERSE,2014,N,20170209,N,,,electronic stability control,CARSON,CA,1GNKRHKD9EJ,20170301,20170301,60180,,"i bought my 2014 traverse used in february 2015 with appox 25,000 miles. had no problems until december 2016 with appox 58,000 miles. the same problem has happened 4 times between 12/28/16 and 2/9/17. each time it happened i was driving on city streets and it was a few days after it rained. i only bring up the rain because the first time i took to dealer, the service adviser immediately looked to see if i had a sunroof because he said the description of my problem was similar to a traverse sunroof problem where water was getting in the vehicle.  when at a stop or reduced speed the vehicle vibrates, loss of traction control message flashes, loss of stability flashes, engine power reduce flashes and the check engine light goes on. the first 3 times this happened, my first instinct was to pull over and turn vehicle off. each time i did this it started up with no problem but the check engine light remained on. i took it to a dealer each time who could not duplicate the problem. after the 3rd time, i called gm and a case number was opened. i was advised to purchase onstar (not an acceptable solution) and told that if it happened again to drive directly to a gm dealer without shutting the vehicle off. it happened again on 2/9/17 while driving appox 25 mph in morning traffic. i drove straight to a gm dealer at a speed of 20 mph in a 50 mph zone. i felt very unsafe. on 2/14 a diagnosis was made - replace the engine computer (covered under warranty) and the under hood fuse block (not covered under warranty and a $725 repair).  as of 3/1/17, i was told by my dealer's service adviser that the under hood fuse block is on a national back order and he is unsure when the part will arrive. i left a voicemail for a gm california rep that has been in contact with me since a case was opened up. i left a message after business hours but it's now 1 pm and he has not returned my call.",IVOQ,N,,N,N,N,,,,,,25,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1465849,11092736,Honda (American Honda Motor Co.),HONDA,RIDGELINE,2017,N,20171219,N,,,engine,FULLERTON,CA,5FPYK2F63HB,20180509,20180509,1500,,"new 2017 honda ridgeline truck when put in reverse from drive (stop position) the vehicle would go forward not backwards. after one month the transmission failure light came on and honda dealership replaced the entire transmission.  they replaced the entire transmission with a remanufactured transmission.  the day after transmission replacement the shift position shifter on the remanufactured transmission switch went bad and was replaced.  the vehicle continues to downshift oddly when foot is taken off accelerator. this is with the replaced remanufactured transmission on my 4 month old vehicle.  this vehicle does not drive like a normal new car. the vehicle also has a very loud wind noise coming from both driver and passenger door when driving at a high rate/freeway.  dealership says no problems exist if a light does not come on to say failure then everything is ok.  the dealerships do not completely document what the problems are when you take it in for repairs.  no consolidation of information from honda to report problems from multiple consumers.  i have spent hours/days at the dealership regarding this new vehicle and the problems have not been resolved.   i have numerous repair orders, e-mails, letters available upon request.  thank you.",IVOQ,N,,N,N,N,,,,,,0,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1317269,10905976,"Tesla Motors, Inc.",TESLA,MODEL X,2016,N,20160901,N,,,unknown or other,BEVERLEY HILLS,CA,UNKNOWN,20160913,20160913,5000,,tesla is now allowing web browsing by the driver while the car is in motion.watch this video from time 27:00 https://www.youtube.com/watch?v=aeu5ol2ir4m  this is contrary to what tesla have previously claimed which is that browsing is never allowed while driving.  i don't think that i need to spell out the dangers created by this situation.  there are so many tesla showing up  in the savage yards that have been in major front end collisions that there must be a problem with driver distraction or brake failure.  please investigate.,IVOQ,N,,N,N,N,,,,,,,,,,,,,,,,,,,,V,,N,N,0,0,0,0,0,0,0,0,0,0
1255451,10821567,General Motors LLC,GMC,CANYON,2016,Y,20151229,N,1,,steering,WRIGHT CITY,MO,1GTG6DE30G1,20160121,20160121,5600,,"faulty electric power steering caused vehicle veer off the rode hitting a concrete wall, concrete mail box and telephone. vehicle was totaled. the vehicle was north bound a two black top road at a slight right hand turn.",IVOQ,Y,,N,N,N,,,,,,40,,,,,,,,,,,,,,V,,Y,Y,0,0,0,0,0,0,0,0,0,0
